abeirar,border,except,
acalorar,heat,emerge,
acionar,trigger,,
acirrar,intensify,,
acrescer,grow,addition,
actuar,act,atuar,
acudir,respond,,
afigurar,imagine,appears,
agaiatar,joke,agaiatar,
agraciar,grace,,
aguerrir,war,harden,
ajardinar,landscape,Landscaping,
ajuizar,sue,judge,
alcoolizar,alcoholize,intoxicate,
alhear,alienate,cede,
amaneirar,easy,amaneirar,
amealhar,hoarding,,
anilhar,ring,anilhar,
apor,affix,,
aprestar,,aprestar,
apetrechar,equip,equipping,
apropriar,expropriate,appropriate,
arredar,draw back,,
atear,knot,atear,
atinar,fathom,,
atingir,reach,atinjir,
atritar,rub,,
autuar,fine,fining,
avizinhar,to be close to,avizinhar,
balizar,beacon,,
chancelar,to seal,,
chibatar,whiplash,Swish,
chumbar,plumb,,
coadjuvar,co-star,,
coligar,gather,,
colmatar,clog,,
comedir,,comedir,
comparticipar,comparticipar,subsidize,
compenetrar,,compenetrar,
conceituar,conceptualize,,
conferenciar,confer,,
congestionar,congest,,
conluiar,collude,conluiar,
consubstanciar,flesh,fleshing,
contabilizar,account,,
conturbar,disrupt,,
culpabilizar,blame,,
comprimir,compress,,
danar,damn,,
dardejar,dart,,
debruar,hem,overcast,
debruçar,incline,address,
degolar,behead,beheaded,
delapidar,squander,,
deparar,face,,
desaconselhar,advise,,
desagravar,derate,reparation,
desaguar,disgorge,emptying,
desajustar,deregulate,,
desamparar,forsake,,
descasar,divorce,descasar,
desconstruir,deconstruct,,
descontrolar,haywire,,
desempatar,untie,the tie,
desempenhar,play,,
desempregar,sack,desempregar,
desencontrar,discord,desencontrar,
desengavetar,free,desengavetar,
desestimular,discourage,discouraging,
desfavorecer,disadvantage,,
desferir,strike,,
desgarrar,astray,,
desgravar,,desgravar ,gir transcribe
desinflacionar,,desinflaccionar,
desinterditar,,desinterditar,
deslanchar,take off,,
desmesurar,exceed,desmesurar,
desobrigar,release,,
despolitizar,depoliticize,,
despontar,dawn,,
despromover,demote,,
desregrar,unsettle,desregrar,
distribuir,Distribute,,
desvirtuar,misrepresenting,,
digladiar,contend,digladiar,
discorrer,discuss,,
desfrutar,enjoy,,
disparatar,blunder,fudge,
empapar,soak,,
empoleirar,perch,empuleirar,
encetar,open,,
encurralar,corner,,
enlutar,mourn,,
envidraçar,glaze,,
enviesar,skew,,
esboroar,crumble,crumbling,
esfarrapar,tatters,,
esforçar,strive to,,
esperançar,hope,hopes,
exprimir,express,esprimir,
estevar,plow,estevar,
esventrar,paunch,,
excetuar,except,,
fasear,phase,,
foragir,run away,foragir,
fracionar,split,,
fracturar,fracture,,
franquear,frank,,
fraquejar,falter,,
garantir,ensure,,
granar,granulate,granar,
grifar,accentuate,,
hastear,hoist,,
hierarquizar,rank,,
hospedar,host,,
imperar,prevail,,
impor,impose,,
incensar,incense,,
incrementar,Increase,,
incrustar,embed,,
indiciar,indicate,,
entrever,glimpse,,
ironizar,mock,,
laborar,labor,laboring,
ladear,flank,Flanking,
lambuzar,smear,,
lecionar,teach,,
lesionar,injure,injured,
licitar,bid,,
militar,militate,Military,
esmaltar,enamel,enamelling,
nortear,guide,,
obcecar,obsess,,
obstinar,insist,obstinar,
olvidar,forget,,
orgulhar,pride,proud,
papar,eat,papar,
pautar,base,,
perdurar,endure,,
perfazer,make up,,
perfilar,profile,profiling,
perigar,endanger,,
planear,plan,,
possibilitar,allow,,
prantear,mourn,,
presentar,presentar,,
pretextar,pretextar,,
principiar,begin,,
propor,propose,,
protagonizar,starring,,
publicitar,advertise,,
radicar,root,,
reatar,resume,,
rebater,counter,,
recalcar,repress,,
recear,fear,,
aposentar,retire,,
casar,marry,,
eleger,elect,,
formar,form,,
lançar,release,,
nomear,name,,
promover,promote,,
recensear,census,,
recolocar,replace,,
reconduzir,bring,,
recriminar,reproach,,
reduzir,reduce,,
reerguer,rebuild,,
Referir,Relate,,
reganhar,regain,,
regozijar,rejoice,,
regulamentar,regulate,,
relançar,relaunch,,
rentabilizar,monetize,,
rondar,prowl,,
rosar,redden,ROSAR ,
sagrar,consecrate,,
sapatear,tapdance,,
seguir,continue,Seguer,
selecionar,select,,
seriar,serialize,,
estandardizar,standardize,,
suster,hold,,
transacionar,transact,,
veicular,divulge,Vehicle,
vencer,win,,
verberar,rebuke,,
vitimar,victimize,,
vivar,bravo,vivar,
zapar,zap,zapar,
