abeirar,border,except,
acalorar,heat,emerge,
acionar,trigger,,
acirrar,intensify,,
acrescer,grow,addition,
actuar,act,atuar,
acudir,respond,,
afigurar,imagine,appears,
agaiatar,joke,agaiatar,
agraciar,grace,,
aguerrir,war,harden,
ajardinar,landscape,Landscaping,
ajuizar,sue,judge,
alcoolizar,alcoholize,intoxicate,
alhear,alienate,cede,
amaneirar,easy,amaneirar,
amealhar,hoarding,,
anilhar,ring,anilhar,
apor,affix,,
aprestar,,aprestar,
apetrechar,equip,equipping,
apropriar,expropriate,appropriate,
arredar,draw back,,
atabalhoar,,atabalhoar,
atear,,atear,
atinar,fathom,,
atingir,reach,atinjir,
atritar,rub,,
autuar,fine,fining,
avizinhar,to be close to,avizinhar,
balizar,beacon,,
chancelar,to seal,,
chibatar,whiplash,Swish,
chumbar,plumb,,
coadjuvar,co-star,,
coligar,gather,,
colmatar,clog,,
comedir,,comedir,
comparticipar,comparticipar,subsidize,
compenetrar,,compenetrar,
conceituar,conceptualize,,
conferenciar,confer,,
congestionar,congest,,
conluiar,collude,conluiar,
consubstanciar,flesh,fleshing,
contabilizar,account,,
contextualizar,context,,
conturbar,disrupt,,
conveniar,convene,,
culpabilizar,blame,,
comprimir,compress,,
danar,damn,,
dardejar,dart,,
debruar,hem,overcast,
debruçar,incline,address,
degolar,behead,beheaded,
delapidar,squander,,
demasiar,exceed,demasiar,
deparar,face,,
desaconselhar,advise,,
desagravar,derate,reparation,
desaguar,disgorge,emptying,
desajustar,deregulate,,
desamparar,forsake,,
descasar,divorce,descasar,
desconstruir,deconstruct,,
descontrolar,haywire,,
desempatar,untie,the tie,
desempenhar,play,,
desempregar,sack,desempregar,
desencontrar,discord,desencontrar,
desengavetar,free,desengavetar,
desertificar,,desertification,
desestimular,discourage,discouraging,
desfavorecer,disadvantage,,
desferir,strike,,
desgarrar,astray,,
desgravar,,desgravar ,gir transcribe
desinflaccionar,,desinflaccionar,
desinterditar,,desinterditar,
deslanchar,take off,,
desmesurar,exceed,desmesurar,
desobrigar,release,,
despolitizar,depoliticize,,
despontar,dawn,,
despromover,demote,,
desregrar,unsettle,desregrar,
distribuir,Distribute,,
desvirtuar,misrepresenting,,
digladiar,contend,digladiar,
discorrer,discuss,,
disfrutar,enjoy,,
disparatar,blunder,fudge,
doutorar,doctorate,,
empapar,soak,,
emplacar,reach,emplacar,
empoleirar,perch,empuleirar,
encartar,,encartar,
encetar,open,,
encurralar,corner,,
engraçar,grace,engraçar,
enjeitar,cast out,,
enlutar,mourn,,
entardecer,evening,,
envidraçar,glaze,,
enviesar,skew,,
enxovalhar,shove,enxovalhar,
esboroar,crumble,crumbling,
escabechar,,escabechar,
esfarrapar,tatters,,
esforçar,strive to,,
esperançar,hope,hopes,
espezinhar,trample,,
exprimir,express,esprimir,
estevar,plow,estevar,
esventrar,paunch,,
excetuar,except,,
fardar,dress in uniform,fardar,
fasear,phasing,,
foragir,run away,foragir,
fraccionar,split,,
fracturar,fracture,,
fragilizar,undermine,undermining,
franquear,frank,,
fraquejar,falter,,
frutar,,frutar,
garantir,ensure,,
garfar,,garfar,
golear,trounce,trouncing,
granar,granulate,granar,
grifar,accentuate,,
hastear,hoist,,
hierarquizar,rank,,
hospedar,host,,
imperar,prevail,,
impor,impose,,
incensar,incense,,
incrementar,Increase,,
incrustar,embed,,
independer,be independent,,
indeterminar,indeterminar,,
indiciar,indicate,,
indiferenciar,indiferenciar,,
entrever,glimpse,,
inviabilizar,derail,,
ironizar,mock,,
laborar,labor,laboring,
ladear,flank,Flanking,
lambuzar,smear,,
leccionar,teach,,
lesionar,injure,injured,
licitar,bid,,
matraquear,rattle,,
militar,militate,Military,
mimetizar,mimic,,
minorar,ease,,
municiar,equip,,
municipalizar,municipalize,,
esmaltar,enamel,enamelling,
nortear,guide,,
obcecar,obsess,,
obstinar,insist,obstinar,
olvidar,forget,,
orgulhar,pride,proud,
papar,eat,papar,
pautar,base,,
perdurar,endure,,
perfazer,make up,,
perfilar,profile,profiling,
perigar,endanger,,
pisgar,beat,pisgar,
planear,plan,,
possibilitar,allow,,
prantear,mourn,,
preconizar,advocate,,
pre-datar,pre-date,pre-dating,
pre-qualificar,pre-qualify,,
presentar,presentar,,
pretextar,pretextar,,
principiar,begin,,
problematizar,discuss,,
propalar,noise,,
propor,propose,,
protagonizar,starring,,
publicitar,advertise,,
radicar,root,,
reatar,resume,,
rebater,counter,,
rebolar,rolling,,
recalcar,repress,,
recandidatar,reapply,,
receiar,receiar,,
aposentar,retire,,
casar,marry,,
eleger,elect,,
formar,form,,
lançar,release,,
nomear,name,,
promover,promote,,
recensear,census,,
recolar,recolar,,
recolocar,replace,,
reconduzir,bring,,
recriminar,reproach,,
reduzir,reduce,,
reembalar,repack,,
reerguer,rebuild,,
Referir,Relate,,
refugiar,refuge,,
reganhar,regaining,,
regozijar,rejoice,,
regravar,rewrite,,
regulamentar,regulate,,
reinaugurar,re-inaugurate,,
reinserir,reenter,,
relançar,relaunch,,
rentabilizar,monetize,,
ressalvar,caveat,,
rondar,prowl,,
rosar,,ROSAR ,
sagrar,consecrate,,
sapatear,tapdance,,
seguir,,Seguer,
selecionar,select,,
seriar,serialize,,
sonegar,withholding,,
estandartizar,standardize,,
suster,hold,,
transacionar,transact,,
transparecer,,,
valar,,valar,
veicular,divulge,Vehicle,
vencer,win,,
verberar,rebuke,,
vitimar,victimize,,
vivar,bravo,vivar,
zapar,zap,zapar,
