02599114-a	Aberdonian	adj.pert	nil	08892186-n	Aberdeen	noun.location	City@	
02599269-a	Abkhaz	adj.pert	nil	09019355-n	Abkhaz	noun.location	StateOrProvince@	
02599269-a	Abkhazian	adj.pert	nil	09019355-n	Abkhazia	noun.location	StateOrProvince@	
02600893-a	Achaean	adj.pert	nil	08782490-n	Achaea	noun.location	GeographicArea@	
02600999-a	Aeolian	adj.pert	CognitiveAgent+	08784104-n	Aeolis	noun.location	LandArea@	
03003928-a	Afghan	adj.pert	Nation@	08703454-n	Afghanistan	noun.location	Afghanistan=	
03003928-a	Afghani	adj.pert	Nation@	08703454-n	Afghanistan	noun.location	Afghanistan=	
03003928-a	Afghanistani	adj.pert	Nation@	08703454-n	Afghanistan	noun.location	Afghanistan=	
03042394-a	Afrikaans	adj.pert	EthnicGroup@	08999482-n	South_Africa	noun.location	SouthAfrica=	
03042394-a	Afrikaner	adj.pert	EthnicGroup@	08999482-n	South_Africa	noun.location	SouthAfrica=	
02609503-a	Alaskan	adj.pert	nil	09055015-n	Alaska	noun.location	Alaska=	
02609813-a	Albanian	adj.pert	EthnicGroup@	08704822-n	Albania	noun.location	Albania=	
02977826-a	Algerian	adj.pert	Nation@	08705397-n	Algeria	noun.location	Algeria=	
02972344-a	Alsatian	adj.pert	LandArea@	08940209-n	Alsace	noun.location	LandArea@	
02927512-a	American	adj.pert	UnitedStates=	09044862-n	America	noun.location	UnitedStates=	
02621799-a	Andalusian	adj.pert	GeographicArea+	08493261-n	Andalusia	noun.location	GeographicArea@	
02978000-a	Andorran	adj.pert	LandArea@	09023118-n	Andorra	noun.location	Andorra=	
02921199-a	Anglo-Indian	adj.pert	EthnicGroup@	08900535-n	India	noun.location	India=	
03042812-a	Angolan	adj.pert	Nation@	08707917-n	Angola	noun.location	Angola=	
03042986-a	Anguillan	adj.pert	GeopoliticalArea@	08708742-n	Anguilla	noun.location	GeopoliticalArea@	
02927803-a	anti-American	adj.pert	nil	09044862-n	America	noun.location	UnitedStates=	x
03043667-a	Antiguan	adj.pert	Island@	08709945-n	Antigua	noun.location	Island@	
02630695-a	antipodal	adj.pert	GeographicArea+	08631750-n	antipodes	noun.location	GeographicArea+	x
02630695-a	antipodean	adj.pert	GeographicArea+	08631750-n	antipodes	noun.location	GeographicArea+	x
02633696-a	apogean	adj.pert	AstronomicalBody+	08495420-n	apogee	noun.location	Region+	
02635395-a	Appalachian	adj.pert	GeographicArea+	08493493-n	Appalachia	noun.location	GeographicArea@	
03044566-a	Arabian	adj.pert	LandArea@	08847694-n	Arabia	noun.location	LandArea@	
02637182-a	Aramaean	adj.pert	nil	09033813-n	Aram	noun.location	Nation@	
02637182-a	Aramean	adj.pert	nil	09033813-n	Aram	noun.location	Nation@	
02639193-a	archdiocesan	adj.pert	ReligiousOrganization+	08550862-n	archdiocese	noun.location	GeopoliticalArea+	x
02640503-a	areal	adj.pert	GeographicArea=	08497294-n	area	noun.location	GeographicArea+	x
02966972-a	Argentine	adj.pert	Nation@	08711974-n	Argentina	noun.location	Argentina=	
02966972-a	Argentinian	adj.pert	Nation@	08711974-n	Argentina	noun.location	Argentina=	
03017788-a	Argive	adj.pert	City@	08786660-n	Argos	noun.location	City@	
02625648-a	Armenian	adj.pert	nil	09017526-n	Armenia	noun.location	Armenia=	
02977465-a	Assamese	adj.pert	StateOrProvince@	08902097-n	Assam	noun.location	StateOrProvince@	
02972499-a	Athenian	adj.pert	City@	08785343-n	Athens	noun.location	City@	
02831736-a	atmospheric	adj.pert	Region+	08499057-n	atmosphere	noun.location	EarthsAtmosphere+	x
02831736-a	atmospherical	adj.pert	Region+	08499057-n	atmosphere	noun.location	EarthsAtmosphere+	x
03017286-a	Attic	adj.pert	City@	08786283-n	Attica	noun.location	LandArea@	
02650425-a	Australasian	adj.pert	GeographicArea@	08836165-n	Australasia	noun.location	LandArea@	
