abandon,abandonar,
abate,diminuir,
abduct,abduzir,
abhor,abominar,abomino
abide,acatar,habitar
abolish,abolir,
abort,abortar,
abridge,abreviar,
abrogate,ab-rogar,revogar
absent,ausentar,ausente
absolve,absolver,
absorb,absorver,
abstract,abstrair,abstrato
abuse,abusar,
abut,,confinar
accelerate,acelerar,
accentuate,acentuar,
accept,aceitar,
access,acessar,acesso
accession,acessar,acessao
accommodate,acomodar,
accompany,acompanhar,
accomplish,realizar,
accost,,accost
accredit,creditar,acreditar
accumulate,acumular,
accuse,acusar,
ace,,ás
achieve,alcançar,
acknowledge,reconhecer,agradecer
acquaint,familiarizar,
acquire,adquirir,
acquit,absolver,
act,atuar,ato
activate,ativar,
actualize,efetivar,
ad-lib,ad-lib,
adapt,adaptar,
add,adicionar,
address,endereçar,endereco
adhere,aderir,
adjoin,,ser contíguo a
adjourn,adiar,
adjudicate,adjudicar,
adjust,ajustar,
administer,administrar,
administrate,administrar,
admire,admirar,
admit,admitir,
admonish,admoestar,
adopt,adotar,
adore,adorar,
adorn,adornar,
advance,avançar,
advertise,anunciar,
advertize,anunciar,
advise,aconselhar,
advocate,advogar,defensor
affect,afetar,
affirm,afirmar,
affix,afixar,
afflict,afligir,
afford,dispor,
afforest,reflorestar,arborizar
age,envelhecer,idade
aggravate,agravar,
agonize,agonizar,
aid,ajudar,ajuda
ail,afligir,
aim,direcionar,objetivo
air,aerar,ar
air-drop,derrubar,ar-gota
airdrop,,lançamento aéreo
airlift,,transporte aéreo
alarm,alarmar,alarme
alert,alertar,alerta
alienate,alienar,
align,alinhar,
allay,acalmar,
allege,alegar,alegam
alleviate,aliviar,
allocate,distribuir,
allot,atribuir,
allow,permitir,
alloy,ligar,liga
allure,fascinar,fascinação
ally,aliar,aliado
alter,alterar,
amass,acumular,
amaze,surpreender,
ambush,emboscar,emboscada
ameliorate,melhorar,
amend,emendar,
amplify,amplificar,
amputate,amputar,
amuse,divertir,
analyse,analisar,
analyze,analisar,
anesthetize,anestesiar,
anger,enraivecer,raiva
anguish,angustiar,angústia
animate,animar,
annex,anexar,anexo
annihilate,aniquilar,
annotate,anotar,
announce,anunciar,
annoy,aborrecer,
annul,anular,
anoint,ungir,
answer,responder,resposta
antagonize,antagonizar,
anticipate,antecipar,
apologize,desculpar,
appal,ofender,assustar
appall,ofender,
appeal,apelar,apelo
appease,aplacar,
append,anexar,
applaud,aplaudir,
apply,aplicar,
appoint,nomear,
apportion,repartir,
appraise,avaliar,
appreciate,apreciar,
apprehend,apreender,
apprentice,aprender,aprendiz
apprise,informar,
approach,aproximar,aproximação
appropriate,apropriar,apropriado
approve,aprovar,
approximate,aproximar,aproximado
arbitrate,arbitrar,
arc,,arco
arch,arcar,arco
archive,arquivar,arquivo
argue,argumentar,
arm,armar,braço
arouse,despertar,
arraign,denunciar,
arrange,organizar,
arrest,prender,
articulate,articular,
ascertain,determinar,
ascribe,atribuir,
ask,perguntar,
aspire,aspirar,aspiram
assail,assaltar,
assassinate,assassinar,
assault,assaltar,assalto
assemble,montar,
assert,afirmar,
assess,avaliar,
assign,atribuir,
assimilate,assimilar,
assist,auxiliar,
associate,associar,associado
assort,,concordar
assuage,amenizar,
assume,assumir,
assure,assegurar,
astonish,surpreender,
astound,surpreender,
attach,anexar,
attack,atacar,ataque
attain,atingir,
attempt,tentar,tentativa
attend,assistir,
attract,atrair,
attribute,atribuir,atributo
attune,afinar,
auction,leiloar,leilão
audit,auditar,
augment,aumentar,
augur,augurar,
authenticate,autenticar,
author,autorar,autor
authorise,autorizar,
authorize,autorizar,
automate,automatizar,
avail,aproveitar,proveito
avenge,vingar,
average,,média
avert,evitar,
avoid,evitar,
await,esperar,await
awaken,despertar,
award,premiar,prêmio
axe,destruir,machado
baby-sit,,cuidar temporariamente de crianças
babysit,,babá
back,voltar,de volta
backhand,,backhand
badge,rotular,crachá
badger,pedir,texugo
badmouth,maldizer,
baffle,confundir,confusão
bag,ensacar,saco
bail,afiançar,fiança
bait,,isca
bake,assar,
balance,equilibrar,equilíbrio
ban,proibir,
bandage,,bandagem
bang,estrondar,estrondo
banish,banir,
bank,bancar,banco
bankroll,,bankroll
bankrupt,falir,falido
baptize,batizar,
bar,barrar,bar
barbecue,churrasquear,churrasco
barge,intrometer,barcaça
bark,ladrar,casca
barrage,barrar,barragem
barrel,embarricar,barril
barricade,,barricada
base,basear,base
bash,bater,
bat,bater,morcego
bath,banhar,banho
bathe,banhar,banho
batter,bater,
bawl,berrar,berro
bead,,pérola
beam,sorrir,viga
bear,suportar,
beat,bater,
beatify,beatificar,
beautify,embelezar,
become,tornar-se,
bedevil,atrapalhar,acossar
beep,bip,
befit,,ser próprio de
befriend,ajudar,
befuddle,confundir,
beg,implorar,
begin,iniciar,início
begrudge,invejar,
behave,comportar-se,
behead,decapitar,
beleaguer,sitiar,
belie,desmentir,
believe,acreditar,
belittle,desmerecer,
bellow,berrar,berro
belt,berrar,cinto
bemoan,lamentar,
bench,bancar,banco
bend,curvar,curva
benefit,beneficiar,benefício
bequeath,legar,
berate,repreender,
berth,abrigar,ancoradouro
beseech,suplicar,
beset,,assaltar
besiege,sitiar,
besmirch,manchar,
bespeak,evidenciar,
best,,o melhor
bestow,outorgar,
bet,apostar,aposta
betray,trair,
better,melhorar,melhor
bewilder,confundir,
bewitch,enfeitiçar,
bid,ofertar,oferta
bilk,lograr,
bill,,projeto de lei
bind,vincular,
birth,parir,birthe
bisect,bifurcar,
bite,morder,
black,enegrecer,preto
blacken,denegrir,
blackmail,chantagear,chantagem
blame,culpar,culpa
blanch,branquear,
blank,esquecer,em branco
blanket,cobrir,cobertor
blare,retumbar,
blast,explodir,explosão
bleach,alvejar,alvejante
bleed,sangrar,
blend,misturar,mistura
bless,abençoar,
blight,,ferrugem
blind,cegar,cego
blindfold,vendar,de olhos vendados
blink,piscar,
blister,bolhar,bolha
blitz,,ataque repentino
bloat,inchar,
block,bloquear,bloco
blockade,bloquear,bloqueio
blot,manchar,mancha
blow,golpear,golpe
bludgeon,cacetear,cacete
blue,azular,azul
bluff,blefar,blefe
blunt,embotar,
blur,borrar,borrão
blurt,,deixar escapar
board,embarcar,conselho
boast,ostentar,ostentação
bob,,prumo
bobble,,bobble
bode,pressagiar,
boil,ferver,fervura
bolster,apoiar,
bolt,aparafusar,parafuso
bomb,bombardear,bomba
bombard,bombardear,
bond,vincular,vínculo
bone,desossar,osso
boo,,boo
book,reservar,livro
boom,estrondar,estrondo
boost,impulsionar,impulso
boot,chutar,bota
border,beirar,fronteira
bore,furar,diâmetro
borrow,emprestar,pedir emprestado
botch,remendar,remendo
bother,incomodar,
bottle,engarrafar,garrafa
bottom,,inferior
bounce,saltar,ressalto
bound,encadernar,encadernado
bow,curvar,arco
box,encaixotar,caixa
boycott,boicotar,boicote
brace,se preparar,braçadeira
braid,trançar,trança
brainwash,,lavagem cerebral
braise,refogar,
brake,freiar,freio
brand,marcar,marca
brandish,brandir,
brave,enfrentar,valente
breach,violar,
bread,empanar,pão
break,parar,pausa
breastfeed,amamentar,
breathe,respirar,
breed,criar,raça
brew,infundir,infusão
bribe,subornar,suborno
bridge,ligar,ponte
brief,reportar,breve
brighten,clarear,
brim,transbordar,borda
brine,salgar,salmoura
bring,trazer,
broach,espichar,
broadcast,difundir,
broaden,ampliar,
broil,grelhar,
broker,,corretor
bronze,bronzear,bronze
browbeat,intimidar,
brown,acastanhar,marrom
browse,procurar,
bruise,contundir,contusão
brush,escovar,escova
brutalize,brutalizar,
buck,pinotear,pinote
buckle,afivelar,fivela
buffer,amortecer,amortecedor
buffet,,bufê
bug,incomodar,percevejo
build,construir,
bulge,mexer se,protuberância
bull,,touro
bulldog,,buldogue
bulldoze,arrasar,
bully,maltratar,valentão
bum,vagabundear,vagabundo
bump,colidir,
bundle,empacotar,pacote
bungle,estragar,
bunt,,bojo
buoy,boiar,bóia
burden,incomodar,fardo
burglarize,roubar,burglarize
burn,queimar,
burnish,polir,
burst,explodir,explosão
bury,enterrar,
bus,transportar,ônibus
bust,irromper,busto
busy,se ocupar,ocupado
butcher,matar,açougueiro
butt,,bumbum
butter,facilitar,manteiga
buttonhole,,botoeira
buttress,fortalecer,contraforte
buy,comprar,
buzz,zumbir,zumbido
bypass,ignorar,
cable,enviar,cabo
cage,engaiolar,gaiola
cajole,persuadir,
cake,,bolo
calculate,calcular,
calibrate,calibrar,
call,chamar,chamada
calm,acalmar,
camouflage,camuflar,camuflagem
can,enlatar,lata
cancel,cancelar,
cannibalize,canibalizar,
canonize,canonizar,
canvass,examinar,exame
cap,,boné
capitalize,capitalizar,
caption,legendar,subtítulo
captivate,cativar,
capture,capturar,captura
caramelize,caramelizar,
caress,acariciar,carícia
carjack,sequestrar,carjack
carpet,acarpetar,tapete
carry,transportar,
cart,carregar,carrinho
cash,descontar,numerário
cast,gravar,elenco
castigate,castigar,
castrate,castrar,
catalog,catalogar,catálogo
catalogue,catalogar,catálogo
catalyze,catalisar,
catapult,catapultar,catapulta
catch,capturar,captura
categorize,classificar,
cater,fornecer,
caulk,calafetar,
cause,causar,causa
caution,acautelar,cautela
cease,cessar,
cede,ceder,
celebrate,celebrar,
cement,acimentar,cimento
censor,censurar,censor
censure,censurar,censura
center,centrar,centro
centralize,centralizar,
certify,certificar,
chafe,,chafe
chain,encadenar,cadeia
chair,presidir,cadeira
chalk,,giz
challenge,desafiar,desafio
champ,campionar,campeão
champion,campionar,campeão
chance,arriscar,chance
change,mudar,mudança
channel,canalizar,canal
chant,cantar,cântico
chaperone,acompanhar,dama de companhia
char,,serviço doméstico
characterize,caracterizar,
charge,cobrar,
charm,charme,encanto
chart,,gráfico
charter,fretar,fretamento
chase,perseguir,perseguição
chastise,punir,
chatter,tagarelar,tagarelice
chauffeur,dirigir,motorista
cheapen,baratear,
cheat,trapacear,
check,verificar,
cheer,brindar,alegria
cheese,,queijo
cherish,apreciar,acalentar
chew,mastigar,
chide,censurar,
chill,esfriar,frio
chip,lascar,lasca
choke,estrangular,estrangulamento
chomp,,chomp
choose,escolher,
chop,picar,
choreograph,coreografar,
chronicle,cronicalizar,crônica
chunk,cortar,naco
churn,bater,batedeira
circle,circular,círculo
circulate,circular,
circumnavigate,circunavegar,
circumscribe,circunscrever,
circumvent,circumventar,lograr
cite,citar,
civilize,civilizar,
claim,reinvindicar,reivindicação
clamp,agarrar,braçadeira
clang,tinir,tinido
clank,estrondar,estrépito
clap,bater palmas,gonorréia
clarify,esclarecer,
clasp,fechar,fecho
classify,classificar,
clean,limpar,limpo
cleanse,limpar,
clear,clarear,claro
clench,cerrar,
click,clicar,clique
climb,subir,subida
clinch,rebitar,
clink,tinir,tinido
clip,,clipe
clobber,espancar,
clock,,relógio
clog,entupir,tamanco
clone,clonar,clone
close,fechar,perto
closet,fechar,armário
clot,coagular,coágulo
clothe,vestir,
cloud,enevoar,nuvem
clout,cobrir,pancada
club,unir se,clube
clue,,pista
cluster,aglomerar,cacho
clutch,agarrar,embreagem
clutter,disorganizar,desordem
co-host,,co-host
co-opt,co-optar,co-opt
co-ordinate,coordenar,
co-produce,co-produzir,co-produtos
co-sponsor,copatronizar,copatrocinador
co-star,co-estrelar,co-estrela
coach,treinar,treinador
coat,cobrir,casaco
coax,persuadir,
cobble,engodar,godo
cock,,galo
cod,,bacalhau
coddle,amimar,
code,codificar,código
codify,codificar,
coerce,coagir,
collapse,colapsar,colapso
collect,coletar,
collide,colidir,
colonize,colonizar,
color,colorir,cor
comb,pentear,pente
combat,combater,combate
combine,combinar,
comfort,confortar,conforto
command,comandar,comando
commandeer,comandar,
commemorate,comemorar,
commence,começar,
commend,elogiar,
comment,comentar,comentário
commercialize,comercializar,
commit,cometer,
communicate,comunicar,
commute,comutar,
compare,comparar,
compartmentalize,compartimentar,
compassionate,,compassivo
compensate,compensar,
compile,compilar,
complement,complementar,complemento
complete,completar,completo
complicate,complicar,
compliment,elogiar,elogio
comport,comportar-se,
compose,compor,
compost,,adubo
compound,compor,composto
comprehend,compreender,
compress,comprimir,
comprise,incluir,
compromise,ceder,compromisso
compute,computar,
computerize,informatizar,
conceal,esconder,
concede,conceder,
conceive,conceber,
concentrate,concentrar,
concern,interessar,interesse
conclude,concluir,
concoct,inventar,
condemn,condenar,
condense,condensar,
condition,condicionar,condição
condone,perdoar,
conduct,conduzir,conduta
confer,conferir,
confess,confessar,
confide,confiar,
configure,configurar,
confine,confinar,
confirm,confirmar,
confiscate,confiscar,
confound,confundir,
confront,confrontar,
confuse,confundir,
congratulate,felicitar,
conjure,conjurar,
connect,conectar,
conquer,conquistar,
conscript,recrutar,recruta
consecrate,consagrar,
conserve,conservar,
consider,considerar,
consign,consignar,
console,consolar,console
consolidate,consolidar,
constitute,constituir,
constrain,restringir,constranger
constrict,contrair,
construct,construir,
construe,interpretar,
consult,consultar,
consume,consumir,
consummate,consumar,
contact,contactar,contato
contain,conter,
contaminate,contaminar,
contemplate,contemplar,
contend,contender,
content,conter,conteúdo
contest,disputar,competição
continue,continuar,
contort,contorcer,
contract,contratar,contrato
contradict,contradizer,
contrast,contrastar,contraste
contravene,transgredir,
contribute,contribuir,
contrive,inventar,inventar
control,controlar,controle
convene,convocar,
convert,converter,
convey,transmitir,
convict,condenar,presidiário
convince,convencer,
convolute,convoluir,convoluto
cook,cozinhar,cozinheiro
cool,resfriar,legal
